時間帯,メーカー名,商品名,表画像ファイル名,裏画像ファイル名,アレルゲン情報
10:30,テーブルマーク,カトキチ丹念仕込み本場さぬきうどん,image/テーブルマーク_カトキチ丹念仕込み本場さぬきうどん_表.jpg,image/テーブルマーク_カトキチ丹念仕込み本場さぬきうどん_裏.png,小麦,本品製造ラインでは「そば」を含む製品を製造しておりません
10:30,ヤマキ,めんつゆ 希釈用,image/ヤマキめんつゆ希釈用_表.jpg,image/ヤマキめんつゆ希釈用_裏.jpg,小麦・大豆
10:30,マルハニチロ,五目あんかけ焼そば,image/マルハニチロ_五目あんかけ焼そば_表.png,image/マルハニチロ_五目あんかけ焼そば_裏.png,小麦、卵、乳成分、ごま、大豆、鶏肉、豚肉
10:30,ハーゲンダッツ ジャパン,ミニカップ ザ・ミルク,image/ハーゲンダッツジャパン_ミニカップザ・ミルク_表.png,image/ハーゲンダッツジャパン_ミニカップザ・ミルク_裏.png,"乳成分、卵"
11:30,アヲハタ,くちどけフローズン いちご,image/くちどけフローズンいちご_表.jpg,image/くちどけフローズンいちご_裏.png,無し
11:30,アヲハタ,くちどけフローズン 白桃,image/くちどけフローズン白桃_表.jpg,image/くちどけフローズン白桃_裏.png,もも・りんご
11:30,アヲハタ,くちどけフローズン アプリコット,image/くちどけフローズンアプリコット_表.jpg,image/くちどけフローズンアプリコット_裏.png,りんご
11:30,味の素冷凍食品,やわらか若鶏から揚げ ボリュームパック,image/やわらか若鶏から揚げ_表.jpg,image/やわらか若鶏から揚げ_裏.png,大豆・鶏肉
11:30,明治,明治 ブルガリア フローズンヨーグルトデザート,image/フローズンヨーグルトデザート_表.jpg,image/フローズンヨーグルトデザート_裏.png,"乳成分",卵を含む製品と共通の設備で製造しています
12:30,日本ハム,シャウエッセンドッグ,image/シャウエッセンドッグ_表.png,image/シャウエッセンドッグ_裏.png,卵・乳成分・小麦・大豆・豚肉・りんご
12:30,ニップン,オーマイプレミアム　濃厚ナポリタン,image/オーマイプレミアム濃厚ナポリタン_表.jpg,image/オーマイプレミアム濃厚ナポリタン_裏.png,小麦・牛肉・大豆・鶏肉・豚肉・りんご
12:30,ロッテ,クーリッシュ　マルチ　バニラ＆チョコレート,image/クーリッシュマルチバニラ＆チョコレート_表.jpg,image/クーリッシュマルチバニラ＆チョコレート_裏.png,卵・乳成分
13:30,日清製粉ウェルナ,マ・マーもちもち生パスタ濃厚カルボナーラ,image/マ・マーもちもち生パスタ濃厚カルボナーラ_表.png,image/マ・マーもちもち生パスタ濃厚カルボナーラ_裏.png,小麦・卵・乳成分・大豆・鶏肉・豚肉・りんご
13:30,CJ FOODS JAPAN,bibigo王マンドゥ肉野菜,image/bibigo王マンドゥ肉野菜_表.jpg,image/bibigo王マンドゥ肉野菜_裏.png,小麦・乳成分・牛肉・大豆・豚肉
13:30,赤城乳業,セルフチョコレートクラッシュチョコミント,image/セルフチョコレートクラッシュチョコミント_表.jpg,image/セルフチョコレートクラッシュチョコミント_裏.png,乳成分・大豆・りんご
14:30,ニチレイフーズ,本格炒め炒飯®,image/本格炒め炒飯_表.png,image/本格炒め炒飯_裏.png,小麦・卵・大豆・豚肉・ゼラチン
14:30,イートアンドフーズ,大阪王将　羽根つきスタミナ肉餃子,image/大阪王将羽根つきスタミナ肉餃子_表.jpg,image/大阪王将羽根つきスタミナ肉餃子_裏.png,小麦・乳成分・牛肉・ごま・大豆・豚肉・鶏肉・ゼラチン
14:30,森永乳業,ＰＡＲＭ　チョコレート,image/ＰＡＲＭチョコレート_表.png,image/ＰＡＲＭチョコレート_裏.png,卵・乳成分・大豆
15:30,ハインツ日本,星のハンバーグ スウィートコーン入り,image/星のハンバーグ_表.png,image/星のハンバーグ_裏.png,小麦・卵・乳成分・牛肉・大豆・鶏肉・豚肉・ゼラチン
15:30,日清食品冷凍,完全メシ　汁なし担々麺,image/完全メシ汁なし担々麺_表.jpg,image/完全メシ汁なし担々麺_裏.jpg,小麦・卵・カシューナッツ・ごま・大豆・鶏肉・豚肉・ゼラチン,本品製造工場では、えび、かに、乳成分を含む製品を製造しております
15:30,株式会社ニッスイ,たこ焼き,image/たこ焼き_表.png,image/たこ焼き_裏.png,小麦・卵・乳成分・大豆・やまいも
15:30,フタバ食品,サクレ濃いみかん,image/サクレ濃いみかん_表.jpg,image/サクレ濃いみかん_裏.png,乳成分・オレンジ・ゼラチン
